,,,,,,,,,,,,,,OD490,,,,,,,,,OD600,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
plate 1,ethanol-T0,,,,,,ethanol-T2,,,,,,,1.000 ,2.000 ,3.000 ,4.000 ,5.000 ,6.000 ,7.000 ,8.000 ,9.000 ,10.000 ,11.000 ,12.000 ,,1.000 ,2.000 ,3.000 ,4.000 ,5.000 ,6.000 ,7.000 ,8.000 ,9.000 ,10.000 ,11.000 ,12.000 
,0%,0.10%,0.25%,0.50%,1%,2%,0%,0.10%,0.25%,0.50%,1%,2%,,0.092 ,0.068 ,0.083 ,0.074 ,0.073 ,0.079 ,0.089 ,0.084 ,0.079 ,0.081 ,0.077 ,0.095 ,,0.075 ,0.066 ,0.070 ,0.068 ,0.069 ,0.072 ,0.075 ,0.075 ,0.076 ,0.076 ,0.074 ,0.085 
,0%,0.10%,0.25%,0.50%,1%,2%,0%,0.10%,0.25%,0.50%,1%,2%,,0.087 ,0.054 ,0.057 ,0.067 ,0.064 ,0.073 ,0.085 ,0.076 ,0.089 ,0.072 ,0.075 ,0.076 ,,0.078 ,0.061 ,0.060 ,0.065 ,0.068 ,0.066 ,0.068 ,0.068 ,0.081 ,0.071 ,0.070 ,0.074 
,0%,0.10%,0.25%,0.50%,1%,2%,0%,0.10%,0.25%,0.50%,1%,2%,,0.087 ,0.069 ,0.072 ,0.071 ,0.073 ,0.075 ,0.085 ,0.080 ,0.075 ,0.081 ,0.081 ,0.087 ,,0.076 ,0.065 ,0.067 ,0.066 ,0.067 ,0.068 ,0.068 ,0.068 ,0.064 ,0.067 ,0.070 ,0.072 
,0%,0.10%,0.25%,0.50%,1%,2%,0%,0.10%,0.25%,0.50%,1%,2%,,0.100 ,0.074 ,0.078 ,0.073 ,0.068 ,0.079 ,0.087 ,0.085 ,0.079 ,0.082 ,0.078 ,0.088 ,,0.089 ,0.066 ,0.072 ,0.067 ,0.065 ,0.076 ,0.078 ,0.073 ,0.073 ,0.067 ,0.069 ,0.078 
,ethanol-T4,,,,,,LA-T4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1% Tx100,0.10%,0.25%,0.50%,1%,2%,0-300,0.1-300,0.25-300,0.5-300,1-300,2-300,,0.055 ,0.103 ,0.091 ,0.083 ,0.089 ,0.100 ,0.659 ,0.597 ,0.592 ,0.536 ,0.651 ,0.612 ,,0.058 ,0.076 ,0.069 ,0.067 ,0.080 ,0.073 ,0.229 ,0.207 ,0.209 ,0.195 ,0.220 ,0.208 
,1% Tx100,0.10%,0.25%,0.50%,1%,2%,0-100,0.1-100,0.25-100,0.5-100,1-100,2-100,,0.054 ,0.097 ,0.090 ,0.084 ,0.085 ,0.089 ,0.098 ,0.086 ,0.080 ,0.092 ,0.094 ,0.825 ,,0.064 ,0.071 ,0.072 ,0.071 ,0.072 ,0.076 ,0.073 ,0.068 ,0.069 ,0.068 ,0.069 ,0.271 
